"Table 6.2B. Compensation of Employees by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 06, 2015"
"Line"," ","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987"
"1","            Compensation of employees",625117,667030,733641,815039,890320,950175,1051234,1168985,1320225,1481035,1626229,1795268,1894319,2013907,2217404,2388965,2543844,2724310
"2","Domestic industries",625094,667009,733642,815052,890342,950218,1051271,1169047,1320324,1481106,1626327,1795424,1894511,2014080,2217615,2389180,2545626,2725666
"3","    Private industries",482772,510330,562479,631247,691111,730313,816562,916584,1045400,1183341,1298322,1434595,1505616,1600376,1773137,1908326,2036209,2186167
"4","        Agriculture, forestry, and fishing",5761,5896,6253,7453,8589,9200,10489,11230,12125,13505,14492,14863,16294,16439,17382,18420,18814,20259
"5","            Farms",4215,4211,4349,5127,5990,6482,7345,7794,8172,8899,9198,8955,10014,9660,9748,9904,9271,9412
"6","            Agricultural services, forestry, and fishing",1546,1685,1904,2326,2599,2718,3144,3436,3953,4606,5294,5908,6280,6779,7634,8516,9543,10847
"7","        Mining",6653,6910,7614,8430,10234,12747,14345,16631,19858,23753,28836,35949,37980,33930,35833,35389,31317,29956
"8","            Metal mining",990,987,1052,1163,1395,1570,1721,1873,2179,2630,2945,3473,2666,2178,2105,1818,1671,1846
"9","            Coal mining",1721,1831,2170,2368,2899,4121,4710,5349,5935,7172,7844,8301,9085,7724,8216,7864,7802,7693
"10","            Oil and gas extraction",2844,2938,3165,3532,4416,5451,6179,7469,9493,11380,15287,21280,23395,21142,22362,22402,18426,16730
"11","            Nonmetallic minerals, except fuels",1099,1154,1227,1367,1524,1605,1735,1940,2251,2571,2759,2896,2833,2886,3149,3305,3418,3685
"12","        Construction",37294,40458,44104,49961,53245,52391,57218,64070,75132,86683,90763,94389,93346,97549,111350,123455,134736,143828
"13","        Manufacturing",179918,183287,201502,226659,245225,248471,280173,317519,356352,399882,427411,467861,469317,489147,540835,569230,588592,611962
"14","            Durable goods",112000,112917,125690,144323,156421,156198,176373,202231,229552,260375,275997,302205,296887,306638,344726,364539,374133,385711
"15","                Lumber and wood products",5019,5593,6197,6990,7133,6757,8214,9618,10936,12037,11733,12151,11417,13296,14821,15279,16291,17447
"16","                Furniture and fixtures",3115,3274,3779,4275,4421,4081,4734,5382,6118,6680,6916,7494,7410,8249,9465,10065,10742,11625
