"Table 6.2C. Compensation of Employees by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 06, 2015"
"Line"," ","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"1","            Compensation of employees",2950040,3142566,3342670,3451998,3671132,3820671,4010129,4202649,4422110,4714693
"2","Domestic industries",2950907,3143851,3344977,3454749,3674097,3823991,4014144,4206739,4426235,4719095
"3","    Private industries 1",2371171,2518802,2668556,2734823,2909092,3035636,3197637,3366612,3562746,3823494
"4","        Agriculture, forestry, and fishing",22955,24828,28262,28520,28989,30732,32054,33587,35273,37839
"5","            Farms",10576,11409,13435,13236,13008,14191,14435,15484,16028,17143
"6","            Agricultural services, forestry, and fishing",12379,13419,14827,15284,15982,16541,17619,18103,19244,20696
"7","        Mining",30457,30749,32755,33226,32767,32496,32951,32758,33952,36345
"8","            Metal mining",2263,2609,2863,2856,2876,2838,2923,3166,3508,3578
"9","            Coal mining",6849,6862,7280,6941,6749,6276,6512,6322,6328,6528
"10","            Oil and gas extraction",17338,17160,18413,19456,19036,19168,18953,18416,18942,20734
"11","            Nonmetallic minerals, except fuels",4007,4119,4199,3973,4106,4214,4563,4853,5175,5505
"12","        Construction",156871,165089,171066,160207,161326,167355,182563,192624,207935,226548
"13","        Manufacturing",654175,680398,696680,704384,737784,756569,786766,807087,828734,872176
"14","            Durable goods",413136,427443,432313,431388,449003,460232,481815,497119,513387,543706
"15","                Lumber and wood products",19204,19271,19099,18299,19593,21040,22692,23290,24213,25448
"16","                Furniture and fixtures",12348,12818,12957,12446,13361,14200,14956,15396,15962,16970
"17","                Stone, clay, and glass products",18673,19257,19364,18629,19500,20344,21316,22020,22928,23695
"18","                Primary metal industries",31450,32741,32461,31601,34561,34432,36526,35762,36311,38047
"19","                Fabricated metal products",46663,48543,49562,49310,51474,53003,56334,58506,60334,63655
"20","                Industrial machinery and equipment",79992,83673,85417,85867,87589,91355,97138,99837,104129,111800
"21","                Electronic and other electric equipment",61466,63697,64056,64793,67099,70137,74291,78156,82035,88587
"22","                Motor vehicles and equipment",43244,42663,41576,41798,46266,48805,53416,55428,54855,56025
"23","                Other transportation equipment",49527,52469,54703,54098,53219,50240,47796,48992,49893,54297
"24","                Instruments and related products",40107,41347,41796,43076,44118,43670,43577,45539,47337,49024
"25","                Miscellaneous manufacturing industries",10461,10962,11323,11470,12224,13006,13773,14192,15390,16156
"26","            Nondurable goods",241039,252955,264368,272997,288780,296337,304952,309969,315348,328470
"27","                Food and kindred products",46863,48850,51788,54110,56518,58238,59765,60813,62403,64464
"28","                Tobacco products",2641,2780,2732,2761,2837,2622,2920,2934,2925,3001
"29","                Textile mill products",16116,16671,16609,16923,18193,18807,19189,19061,18869,19426
"30","                Apparel and other textile products",18938,19562,19677,19951,20860,21163,21518,20962,20391,20296
"31","                Paper and allied products",25549,26897,27945,28715,30559,31226,31806,32602,33004,34003
"32","                Printing and publishing",46765,48766,51341,52238,54657,55907,57925,59529,61089,64559
"33","                Chemicals and allied products",48159,51280,54633,57580,61615,62756,63682,64625,67649,70859
"34","                Petroleum and coal products",8623,9139,9403,9983,10439,10595,10907,10788,10270,10998
"35","                Rubber and miscellaneous plastics products",24631,26195,27361,27921,30193,31995,34225,35798,35977,38110
"36","                Leather and leather products",2754,2814,2879,2815,2909,3028,3016,2856,2770,2754
"37","        Transportation and public utilities",202350,211753,224670,232424,246469,254786,267480,275742,288841,305019
"38","            Transportation",109486,116018,122989,126758,134732,139204,147236,152168,160724,169647
"39","                Railroad transportation",15435,15173,14858,15047,15725,15321,15176,15071,15290,15443
"40","                Local and interurban passenger transit",5988,6334,6808,7246,7760,8239,8854,9275,9901,10545
"41","                Trucking and warehousing 2",42158,44457,46527,47222,50498,52819,57547,60495,65602,71483
"42","                Water transportation",6397,6698,7125,7575,7783,7802,7979,7828,7967,8204
"43","                Transportation by air 2",30275,33325,36589,38082,40548,41920,43895,45031,47177,48096
"44","                Pipelines, except natural gas",904,896,975,1056,1160,1129,1155,1129,1143,1203
"45","                Transportation services",8330,9135,10105,10528,11258,11972,12631,13340,13644,14673
"46","            Communications",52104,52787,55867,57347,59963,62496,66480,70188,73980,80413
"47","                Telephone and telegraph",41105,41385,43222,44564,46262,48113,51097,53251,55303,60669
"48","                Radio and television",10999,11401,12645,12783,13701,14383,15383,16937,18677,19744
"49","            Electric, gas, and sanitary services",40760,42949,45814,48320,51774,53086,53764,53385,54138,54960
"50","        Wholesale trade",197965,212519,221597,226157,239763,244200,259023,276683,292152,314578
"51","        Retail trade",279087,294005,306503,314224,328483,344034,367791,388177,407019,432017
"52","        Finance, insurance, and real estate",223133,231656,245711,255456,284111,299050,306925,321721,348490,381987
"53","            Depository institutions",62293,65296,68103,68226,72811,74615,76612,79578,83870,89724
"54","            Nondepository institutions",12741,13172,14137,15146,18246,21626,22068,22424,25623,29744
"55","            Security and commodity brokers",32654,30468,31886,34417,46358,50811,49895,56115,66375,77614
