"Table 1.1.5. Gross Domestic Product"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: June 28, 2016 - Next Release Date July 29, 2016"
"Line"," ","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"1","        Gross domestic product",1075.9,1167.8,1282.4,1428.5,1548.8,1688.9,1877.6,2086.0,2356.6,2632.1,2862.5,3211.0,3345.0,3638.1,4040.7,4346.7,4590.2,4870.2,5252.6,5657.7,5979.6,6174.0,6539.3,6878.7,7308.8,7664.1,8100.2,8608.5,9089.2,9660.6,10284.8,10621.8,10977.5,11510.7,12274.9,13093.7,13855.9,14477.6,14718.6,14418.7,14964.4,15517.9,16155.3,16663.2,17348.1
"2","Personal consumption expenditures",647.7,701.0,769.4,851.1,932.0,1032.8,1150.2,1276.7,1426.2,1589.5,1754.6,1937.5,2073.9,2286.5,2498.2,2722.7,2898.4,3092.1,3346.9,3592.8,3825.6,3960.2,4215.7,4471.0,4741.0,4984.2,5268.1,5560.7,5903.0,6307.0,6792.4,7103.1,7384.1,7765.5,8260.0,8794.1,9304.0,9750.5,10013.6,9847.0,10202.2,10689.3,11050.6,11392.3,11865.9
"3","    Goods",318.8,342.1,373.8,416.6,451.5,491.3,546.3,600.4,663.6,737.9,799.8,869.4,899.3,973.8,1063.7,1137.6,1195.6,1256.3,1337.3,1423.8,1491.3,1497.4,1563.3,1642.3,1746.6,1815.5,1917.7,2006.8,2108.7,2286.8,2452.9,2525.2,2598.6,2721.6,2900.3,3080.3,3235.8,3361.6,3375.7,3198.4,3362.8,3596.5,3739.1,3836.8,3948.4
"4","        Durable goods",90.0,102.4,116.4,130.5,130.2,142.2,168.6,192.0,213.3,226.3,226.4,243.9,253.0,295.0,342.2,380.4,421.4,442.0,475.1,494.3,497.1,477.2,508.1,551.5,607.2,635.7,676.3,715.5,779.3,855.6,912.6,941.5,985.4,1017.5,1079.8,1127.2,1156.1,1184.6,1102.3,1023.3,1070.7,1125.3,1191.9,1237.8,1280.2
"5","        Nondurable goods",228.8,239.7,257.4,286.1,321.4,349.2,377.7,408.4,450.2,511.6,573.4,625.4,646.3,678.8,721.5,757.2,774.2,814.3,862.3,929.5,994.2,1020.3,1055.2,1090.8,1139.4,1179.8,1241.4,1291.2,1329.4,1431.2,1540.3,1583.7,1613.2,1704.0,1820.4,1953.1,2079.7,2176.9,2273.4,2175.1,2292.1,2471.1,2547.2,2598.9,2668.2
"6","    Services",328.9,358.9,395.6,434.5,480.5,541.4,603.9,676.3,762.6,851.6,954.8,1068.1,1174.6,1312.7,1434.5,1585.1,1702.8,1835.8,2009.6,2169.0,2334.3,2462.7,2652.4,2828.7,2994.5,3168.6,3350.4,3554.0,3794.3,4020.3,4339.5,4577.9,4785.5,5044.0,5359.8,5713.8,6068.2,6388.9,6637.9,6648.5,6839.4,7092.8,7311.5,7555.5,7917.5
"7","Gross private domestic investment",170.1,196.8,228.1,266.9,274.5,257.3,323.2,396.6,478.4,539.7,530.1,631.2,581.0,637.5,820.1,829.6,849.1,892.2,937.0,999.7,993.5,944.3,1013.0,1106.8,1256.5,1317.5,1432.1,1595.6,1735.3,1884.2,2033.8,1928.6,1925.0,2027.9,2276.7,2527.1,2680.6,2643.7,2424.8,1878.1,2100.8,2239.9,2511.7,2665.0,2860.0
"8","    Fixed investment",168.0,188.6,219.0,251.1,260.5,263.5,306.1,374.3,452.6,521.7,536.4,601.4,595.9,643.3,754.7,807.8,842.6,865.0,918.5,972.0,978.9,944.7,996.7,1086.0,1192.7,1286.3,1401.3,1524.7,1671.6,1823.4,1979.2,1966.9,1906.5,2008.7,2212.8,2467.5,2613.7,2609.3,2456.8,2025.7,2039.3,2198.1,2449.9,2593.2,2782.9
"9","        Nonresidential",124.6,130.4,146.6,172.7,191.1,196.8,219.3,259.1,314.6,373.8,406.9,472.9,485.1,482.2,564.3,607.7,607.8,615.2,662.3,716.0,739.2,723.6,741.9,799.2,868.9,962.2,1043.2,1149.1,1252.8,1361.6,1493.8,1453.9,1348.9,1371.7,1463.1,1611.5,1776.3,1920.6,1941.0,1633.4,1658.2,1812.1,2007.7,2084.3,2233.7
"10","            Structures",40.3,42.7,47.2,55.0,61.2,61.4,65.9,74.6,93.6,117.7,136.2,167.3,177.6,154.3,177.4,194.5,176.5,174.2,182.8,193.7,202.9,183.6,172.6,177.2,186.8,207.3,224.6,250.3,275.1,283.9,318.1,329.7,282.9,281.8,301.8,345.6,415.6,496.9,552.4,438.2,362.0,381.6,448.0,462.1,507.0
